Year,Month,Day,Hour,Minute,Open,High,Low,Close,Volume,Timestamp,Timestamp_diff_1
2011,12,31,9,43,4.247,4.247,4.247,4.247,0.4,1325324580,
2011,12,31,12,1,4.1,4.1,4.1,4.1,0.623628,1325332860,8280.0
2011,12,31,13,15,4.1,4.1,4.1,4.1,6.503072,1325337300,4440.0
2011,12,31,14,27,4.045,4.045,4.044,4.044,2.3793,1325341620,4320.0
2011,12,31,15,22,4.218,4.218,4.218,4.218,0.200462,1325344920,1680.0
2011,12,31,16,4,4.18,4.19,4.18,4.19,11.283664,1325347440,840.0
2011,12,31,17,5,4.173,4.173,4.173,4.173,3.4750660000000004,1325351100,3240.0
2011,12,31,18,2,4.23,4.246,4.23,4.246,25.0819272,1325354520,2100.0
2011,12,31,19,1,4.229,4.229,4.229,4.229,1.27909,1325358060,480.0
2011,12,31,20,5,4.2189999999999985,4.2189999999999985,4.2189999999999985,4.2189999999999985,0.67,1325361900,840.0
2011,12,31,21,3,4.2189999999999985,4.249,4.2189999999999985,4.249,48.948826200000006,1325365380,1200.0
2011,12,31,22,1,4.301,4.5,4.301,4.5,1.72748,1325368860,600.0
2011,12,31,23,19,4.45,4.45,4.45,4.45,0.5,1325373540,1380.0
2012,1,1,0,1,4.565,4.565,4.565,4.565,6.5,1325376060,1800.0
2012,1,1,1,10,4.501,4.501,4.501,4.501,0.333742,1325380200,1020.0
2012,1,1,2,3,4.649,4.65,4.649,4.65,1.720004,1325383380,360.0
2012,1,1,3,7,4.8,4.8,4.8,4.8,11.4606,1325387220,480.0
2012,1,1,4,1,4.66,4.66,4.65,4.65,22.36,1325390460,120.0
2012,1,1,5,2,4.65,4.65,4.6110000000000015,4.6110000000000015,6.99912,1325394120,1500.0
2012,1,1,7,21,4.505,4.505,4.505,4.505,0.368429,1325402460,8340.0
2012,1,1,8,1,4.51,4.51,4.51,4.51,3.54,1325404860,2040.0
2012,1,1,14,27,4.522,4.522,4.522,4.522,0.133,1325428020,22620.0
2012,1,1,15,25,4.539,4.54,4.539,4.54,0.24,1325431500,3480.0
2012,1,1,16,9,4.5539999999999985,4.555,4.5539999999999985,4.555,0.24,1325434140,2400.0
2012,1,1,17,12,4.63,4.7,4.63,4.7,34.87398378,1325437920,1380.0
2012,1,1,18,14,4.7,4.7,4.7,4.7,2.11279593,1325441640,2400.0
2012,1,1,19,24,4.81,4.81,4.809,4.809,0.2,1325445840,1680.0
2012,1,1,20,38,4.833,4.833,4.833,4.833,2.0,1325450280,3060.0
2012,1,1,21,11,4.9,4.9,4.9,4.9,17.000042999999998,1325452260,1380.0
2012,1,1,22,9,4.856,4.856,4.854,4.854,0.3,1325455740,1380.0
2012,1,1,23,0,4.874,4.874,4.874,4.874,1.989995,1325458800,120.0
2012,1,2,0,5,4.999,4.999,4.999,4.999,2.1413900000000003,1325462700,600.0
2012,1,2,1,10,4.932,4.932,4.932,4.932,0.26,1325466600,1020.0
2012,1,2,2,2,5.49,5.49,5.49,5.49,0.523457,1325469720,1500.0
2012,1,2,3,10,5.17,5.17,5.17,5.17,0.3,1325473800,3360.0
2012,1,2,4,7,5.222,5.222,5.222,5.222,0.78,1325477220,720.0
2012,1,2,5,0,5.2,5.2,5.2,5.2,2.03464,1325480400,480.0
2012,1,2,6,18,5.28,5.28,5.28,5.28,0.661262,1325485080,1560.0
2012,1,2,7,2,5.301,5.301,5.3,5.3,2.1022,1325487720,420.0
2012,1,2,8,0,5.3,5.3,5.3,5.3,0.564062,1325491200,60.0
2012,1,2,9,11,5.29,5.295,5.29,5.295,2.542349,1325495460,1080.0
2012,1,2,10,12,5.2,5.2,5.2,5.2,0.7784399999999999,1325499120,3600.0
2012,1,2,11,28,5.349,5.349,5.349,5.349,16.9687,1325503680,1800.0
2012,1,2,12,22,5.35,5.35,5.35,5.35,2.9999990000000003,1325506920,2520.0
2012,1,2,14,37,5.347,5.347,5.347,5.347,2.0,1325515020,8040.0
2012,1,2,15,28,5.22,5.22,5.22,5.22,5.0,1325518080,1980.0
2012,1,2,16,20,5.21,5.21,5.21,5.21,1.52098,1325521200,3120.0
2012,1,2,17,13,5.3,5.3,5.3,5.3,1.366117,1325524380,2520.0
2012,1,2,18,0,5.1,5.1,5.1,5.1,2.0,1325527200,60.0
2012,1,2,19,19,5.247999999999998,5.28,5.247999999999998,5.28,2.0,1325531940,2100.0
2012,1,2,20,1,5.25,5.297999999999999,5.25,5.297999999999999,2.0000005,1325534460,300.0
2012,1,2,21,5,5.3,5.3439999999999985,5.3,5.3439999999999985,4.2494510000000005,1325538300,600.0
2012,1,2,22,0,5.32,5.32,5.32,5.32,0.1,1325541600,60.0
2012,1,2,23,6,5.05,5.05,5.05,5.05,0.1,1325545560,840.0
2012,1,3,0,20,5.199,5.199,5.199,5.199,0.17,1325550000,1620.0
2012,1,3,1,24,5.065,5.065,5.065,5.065,0.119083,1325553840,1920.0
2012,1,3,2,0,5.185,5.185,5.185,5.185,0.5,1325556000,420.0
2012,1,3,3,3,5.1,5.1,5.1,5.1,0.3,1325559780,360.0
2012,1,3,4,10,5.1,5.1,5.1,5.1,1.08,1325563800,720.0
2012,1,3,5,6,5.08,5.08,5.08,5.08,0.8,1325567160,720.0
2012,1,3,6,11,5.11,5.11,5.11,5.11,0.226302,1325571060,1200.0
2012,1,3,7,0,5.065,5.065,5.065,5.065,0.1595,1325574000,240.0
2012,1,3,8,3,5.1,5.12,5.1,5.12,0.15397750000000002,1325577780,3540.0
2012,1,3,9,7,5.066,5.066,5.066,5.066,0.1,1325581620,2040.0
