date,feature_1,1_open_tomorrow,1_open_2tomorrow
2007-07-02,1,18206.5,18158.8
2007-07-03,1,18158.8,18191.9
2007-07-04,1,18191.9,18184.6
2007-07-05,1,18184.6,18226.1
2007-07-06,1,18226.1,18244.7
2007-07-09,1,18244.7,18116.7
2007-07-10,1,18116.7,18105.9
2007-07-11,1,18105.9,18161.0
2007-07-12,1,18161.0,18269.4
2007-07-13,1,18269.4,18136.1
2007-07-17,1,18136.1,18095.9
2007-07-18,1,18095.9,18148.6
2007-07-19,1,18148.6,17995.7
2007-07-20,1,17995.7,17998.8
2007-07-23,1,17998.8,17811.0
2007-07-24,1,17811.0,17807.2
2007-07-25,1,17807.2,17454.6
2007-07-26,1,17454.6,17138.5
2007-07-27,1,17138.5,17318.0
2007-07-30,1,17318.0,17169.2
2007-07-31,1,17169.2,16956.3
2007-08-01,1,16956.3,17019.8
2007-08-02,1,17019.8,16781.1
2007-08-03,1,16781.1,17009.6
2007-08-06,1,17009.6,16930.4
2007-08-07,1,16930.4,17170.4
2007-08-08,1,17170.4,16923.2
2007-08-09,1,16923.2,16791.8
2007-08-10,1,16791.8,16824.6
2007-08-13,1,16824.6,16659.1
2007-08-14,1,16659.1,16296.4
2007-08-15,1,16296.4,16035.4
2007-08-16,1,16035.4,15477.3
2007-08-17,1,15477.3,15773.9
2007-08-20,1,15773.9,15866.6
2007-08-21,1,15866.6,16093.8
2007-08-22,1,16093.8,16286.0
2007-08-23,1,16286.0,16429.0
2007-08-24,1,16429.0,16214.1
2007-08-27,1,16214.1,16068.1
2007-08-28,1,16068.1,16182.1
2007-08-29,1,16182.1,16271.0
2007-08-30,1,16271.0,16511.1
2007-08-31,1,16511.1,16445.7
2007-09-03,1,16445.7,16506.1
2007-09-04,1,16506.1,16003.9
2007-09-05,1,16003.9,16179.8
2007-09-06,1,16179.8,15906.5
2007-09-07,1,15906.5,15787.9
2007-09-10,1,15787.9,15978.8
2007-09-11,1,15978.8,15886.8
2007-09-12,1,15886.8,15895.0
2007-09-13,1,15895.0,16037.5
2007-09-14,1,16037.5,16038.1
2007-09-18,1,16038.1,16474.7
2007-09-19,1,16474.7,16284.4
2007-09-20,1,16284.4,16317.2
2007-09-21,1,16317.2,16388.5
2007-09-25,1,16388.5,16551.9
2007-09-26,1,16551.9,16903.6
2007-09-27,1,16903.6,16773.1
2007-09-28,1,16773.1,17027.9
2007-10-01,1,17027.9,17066.1
2007-10-02,1,17066.1,17085.3
2007-10-03,1,17085.3,17070.6
2007-10-04,1,17070.6,17166.2
2007-10-05,1,17166.2,17231.1
2007-10-09,1,17231.1,17188.8
2007-10-10,1,17188.8,17417.9
2007-10-11,1,17417.9,17399.7
2007-10-12,1,17399.7,17267.1
2007-10-15,1,17267.1,17114.2
2007-10-16,1,17114.2,16974.7
2007-10-17,1,16974.7,16965.0
2007-10-18,1,16965.0,16563.6
2007-10-19,1,16563.6,16486.7
2007-10-22,1,16486.7,16518.0
2007-10-23,1,16518.0,16368.0
2007-10-24,1,16368.0,16358.6
2007-10-25,1,16358.6,16613.3
2007-10-26,1,16613.3,16655.3
2007-10-29,1,16655.3,16620.6
2007-10-30,1,16620.6,16812.9
2007-10-31,1,16812.9,16647.4
2007-11-01,1,16647.4,16458.1
2007-11-02,1,16458.1,16152.6
2007-11-05,1,16152.6,16325.2
2007-11-06,1,16325.2,15889.0
2007-11-07,1,15889.0,15675.5
2007-11-08,1,15675.5,15377.4
2007-11-09,1,15377.4,15148.2
2007-11-12,1,15148.2,15311.4
2007-11-13,1,15311.4,15536.3
2007-11-14,1,15536.3,15238.7
2007-11-15,1,15238.7,15177.2
2007-11-16,1,15177.2,14869.0
2007-11-19,1,14869.0,15113.8
2007-11-20,1,15113.8,14726.6
2007-11-21,1,14726.6,14921.6
2007-11-22,1,14921.6,14953.9
2007-11-26,1,14953.9,15271.1
2007-11-27,1,15271.1,15339.6
2007-11-28,1,15339.6,15520.5
2007-11-29,1,15520.5,15747.5
2007-11-30,1,15747.5,15613.9
2007-12-03,1,15613.9,15419.0
2007-12-04,1,15419.0,15782.4
2007-12-05,1,15782.4,15992.2
2007-12-06,1,15992.2,16007.3
2007-12-07,1,16007.3,16003.1
2007-12-10,1,16003.1,15828.7
2007-12-11,1,15828.7,15818.5
2007-12-12,1,15818.5,15547.2
2007-12-13,1,15547.2,15433.3
2007-12-14,1,15433.3,15099.2
2007-12-17,1,15099.2,15165.1
2007-12-18,1,15165.1,15151.4
2007-12-19,1,15151.4,15044.3
2007-12-20,1,15044.3,15441.3
2007-12-21,1,15441.3,15614.0
2007-12-25,1,15614.0,15616.4
2007-12-26,1,15616.4,15413.4
2007-12-27,1,15413.4,15155.7
2007-12-28,1,15155.7,14549.4
2008-01-04,1,14549.4,14429.3
2008-01-07,1,14429.3,14364.7
2008-01-08,1,14364.7,14546.3
2008-01-09,1,14546.3,14419.4
2008-01-10,1,14419.4,14134.9
2008-01-11,1,14134.9,13796.7
2008-01-15,1,13796.7,13596.4
2008-01-16,1,13596.4,13577.5
2008-01-17,1,13577.5,13701.4
2008-01-18,1,13701.4,13125.2
2008-01-21,1,13125.2,12756.3
2008-01-22,1,12756.3,12952.5
2008-01-23,1,12952.5,13258.8
2008-01-24,1,13258.8,13482.8
2008-01-25,1,13482.8,13246.7
2008-01-28,1,13246.7,13500.5
