Date,News
2016-01-01,"A publicist for Robert Redford has confirmed the   icon is alive and well after a hoax news report of his death circulated rapidly on Twitter on New Year’s Eve. [Social media was set ablaze for a brief time on Thursday with reports that the      had died after falling from a golf cart in Santa Monica, California. A fake Twitter account purporting to be Britain’s Sky News had tweeted out the fake news of Redford’s death.  Social media users quickly posted “RIP” tributes to the   screen legend as the hoax spread. But Cindi Berger, Redford’s publicist, worked quickly to assure fans that the Butch Cassidy and the Sundance Kid star had fallen victim to a “sick” Internet hoax. “This is a sick hoax. I just spoke to him and there is no truth to this whatsoever,” Berger said in a statement to Reuters, saying the actor was at home, alive and well. Redford, who does not have an account on Twitter, did not immediately issue a comment of his own. The fake Twitter account that sparked the hoax has in the past reportedly spread other false reports about celebrity deaths, including that of actor John Travolta. The account has since been suspended by Twitter. Redford currently stars as Dan Rather in the   “Rathergate” film Truth and will reportedly attend the Sundance Film Festival, an event he   in Utah later this month."
2016-01-02," The email appears to back up a claim made by Virginia GOP chairman John Whitbeck last week, when he said on the radio that the party had informed the Trump campaign on Sept. 8 about the possibility of asking those who want to vote on the Republican side of the state’s open primary to sign such a statement. Days later on the same radio show, Trump campaign manager Corey Lewandowski said that the assertion that the campaign had been informed of this and failed to object were “just not accurate. ” The Trump campaign has strongly objected to the statement in recent weeks, with the Donald himself taking to Twitter on Sunday to say that the RPV is “working hard to disallow independent, unaffiliated and new voters. ” But an   dated Sept. 8 from RPV executive director John Findlay addressed to Trump national political director Michael Glassner says that requirements to participate in the Republican primary “may include, but shall not be limited to, the signing of a pledge by the voter of his intention to support the party’s candidate when offering to vote in the primary. ” The   further states, “RPV is currently exploring having a statement of intent for the March Primary. It is a must that the statement be worded to allow for members of the military and federal employees to participate in our process. ” It adds that part of the goal of the statement would be to “attempt to collect   addresses of voters. ” The   obtained by BuzzFeed News did not include an attachment referenced in the email that allegedly contained a draft of the statement.  A memo dated Dec. 29 and addressed from the executive director of the RPV to the State Central Committee adds that the Trump campaign did not respond to the   for 3 months. It says that they were finally contacted by the Trump campaign about the “statement of affiliation” on Dec. 9. They allegedly contacted the campaign by phone the same day and then in writing on Dec. 19. It is unclear what was said in that correspondence. Lewandowski, Trump’s campaign manager, said on Christmas Eve that the campaign has asked the party “to come back to us with what the final language is going to be. And as of right now, nobody knows what that final language is going to be. ”  The party released a statement on Dec. 17 saying that the statement will read, “My signature below indicates that I am a Republican,” without any further statement of intent. The memo further offers a debriefing on the controversy surrounding the statement. As Whitbeck, the RPV chairman, did last week, it argues that “the Statement of Affiliation is not designed to favor or hurt any candidate whatsoever. The purpose of the Statement is to build our Party and prevent Democrats from voting in the March 1st Republican Presidential Primary. ”  “Had the Trump campaign responded prior to the meeting, our Party would have alerted our members to their feedback at the September State Central meeting when the Statement of Affiliation was voted on,” it says, adding later that the RPV has “treated all candidates equally. ” The Trump campaign did not immediately respond to a request for comment.  "
2016-01-03,"The beginning of a new year is a busy time for new singles. According to the websites Match. com and PlentyOfFish, Jan. 3 is the busiest day of the year for new signups to their sites. But those are just two in the plethora of dating apps and websites. There are big names like Tinder, OkCupid and Hinge. But there are lots of niche apps that target specific groups. For example, there’s JDate and JSwipe for Jews Tindog connects dogs and owners alike High There is for marijuana enthusiasts and of course there’s Sizzl, exclusively for bacon lovers. As people spend more time on their phones, much of the dating world has moved there with them. So what happened to meeting people in person? Lisa Bonos tried to find out. Bonos writes and edits pieces about single life and dating for The Washington Post’s   blog. She recently took a   break from dating apps and tried to meet people IRL. Bonos chronicled her app fast in a recent blog post and talked about what she learned with NPR’s Michel Martin. On how important the Internet is for modern dating, If you want to be meeting people and going on dates on a regular basis, yes, it’s important. If you want to go on one date a week, you are going to have to enlist the Internet, or all of your friends, to set you up. On the increased pressure she felt going offline, Anytime I was in a situation where there might be single people, like a bar or party, which did not happen every night, I would be like, ”Oh, my gosh, I’m in a situation where I could meet someone. I need to talk to more than one person.” In one situation I ended up talking to two people and cutting off a perfectly good conversation to go talk to somebody [else]. Turned out, he was married. On what she learned from the experience, My takeaway from the time away is that I might do it more often. Just take a breath when I’m feeling overwhelmed. I might not say, ”For three months I’m not going to use the apps.” But maybe two days or three days."
2016-01-04,"Sen. Ted Cruz ( ) is calling on the protesters occupying a federal building in Burns, Oregon to “stand down. ”[“Every one of us has a constitutional right to protest, to speak our minds,” Cruz told reporters in Iowa on Monday.  “But we don’t have a constitutional right to use force and violence and to threaten force and violence against others. ” He added that, “it is our hope that the protesters there will stand down peaceably, that there will not be a violent confrontation. ” Sen. Marco Rubio ( ) also weighed in, during an interview on Iowa radio station KBUR on Monday. “You can’t be lawless. We live in a republic,” Rubio said. “There are ways to change the laws of this country and the policies. If we get frustrated with it, that’s why we have elections. That’s why we have people we can hold accountable. ” The protests are being led by Ammon Bundy, son of Nevada rancher Cliven Bundy. As Breitbart News’ Brandon Darby has reported, the protests began over the prison sentences of two local ranchers, Dwight and Steven Hammond."
2016-01-05,"From the mundane to the bizarre, everything seemed to include a hashtag in global development this year. There was #EarthtoParis for the climate change meeting in Paris. There was #WorldToiletDay for you guessed it. And there was #MugabeFalls, which helped turn Zimbabwean President Robert Mugabe into a cheeky meme after he literally fell on the red carpet during a rally. We combed through a year of #wordsstrungtogetherlikethis to find the hashtags that made a mark  —   and found a few trends: busting stereotypes in the developing world, championing big global campaigns, playing off the news and goofing around, too. A lot of the hashtags used photos to drive home the message. ”One thing that has been unique this year in hashtags is visual imagery,” says Jason Wojciechowski, creative director of Corelab, an agency that runs digital campaigns for global development organizations. ”For each hashtag, there’s been one or two photos that speak to what the issue is really all about  —   like the photo of Aylan Kurdi on the beach or the photo of Justin Trudeau greeting Syrian refugees to Canada for #RefugeesWelcome.” For Wojciechowski and his team, who have created social media strategies for the Malala Fund, the United Nations and Rock the Vote, hashtags create the biggest waves when they are authentic, simple and clear. He thinks there will be more of them this year  —   and he predicts that it’s not just a numbers game. ”You don’t need millions of people using a hashtag,” says Wojciechowski. ”You need the right people with the right message at the right time.” Here’s our list: #TheAfricaTheMediaNeverShowsYou, Fed up with oversimplified stereotypes about Africa, people across the continent tweeted photos of beautiful landscapes, beaches and architecture to combat the images of drought, disease and disaster often featured in media stories about Africa. The hashtag, #TheAfricaTheMediaNeverShowsYou, started trending in June and was tweeted nearly 45, 000 times in just a month. #BeingFemaleInNigeria, In June, members of a tiny book club in Abuja, Nigeria, started tweeting about sexist moments they’ve experienced, prompted by a discussion of Chimamanda Ngozi Adichie’s ”We Should All Be Feminists” TedTalk. Soon, thousands were tweeting about the big and small frustrations of #BeingFemaleInNigeria  —   as well as the strength of Nigerian women. #HappyToBleed, Many Hindu temples across India ask women to stay away while they’re menstruating. Then the new president of the Sabarimala temple in Kerala, which bans all women of reproductive age, said he’d consider allowing women if and when there’s a machine that can detect if they’re bleeding. Student activist Nikita Azad took a stand with the hashtag #HappyToBleed. Women in India and around the world started speaking out against menstrual taboos using the tag. Many changed their profile photos to depict sanitary napkins and tampons. #GlobalGoals, In September, the U. N. General Assembly passed its new Sustainable Development Goals to end poverty by 2030. But the public began hearing about the goals months before when the U. N. and its partners created the hashtag #GlobalGoals.   One Direction and celebrities like Mindy Kaling and John Legend lent their voices, along with a   directory of global nonprofits. #SelfieWithDaughter, To promote gender equality and girls’ education, Indian Prime Minister Narendra Modi asked Indian moms and dads to tweet photos of themselves with their daughters. The hashtag, part of Modi’s ”Beti Bachao, Beti Padhao” (Save the Daughter, Educate the Daughter) campaign, was an instant hit  —   and prompted thousands of submissions from celebrities, politicians and Indians the world over. #62MillionGirls, In September and October, first lady Michelle Obama rallied the public, nonprofits and celebs  —   including Beyonce, Misty Copeland and Kerry Washington  —   to use the hashtag #62milliongirls to raise awareness for the number of girls around the world who are not in school. It’s part of Let Girls Learn, her initiative with USAID. #147NotJustANumber, In April, Kenyan activist Ory Okolloh Mwangi started the hashtag #147NotJustANumber to put a human face on the terrorist attack that killed 148 people at the Garissa University College in eastern Kenya. People shared photos and biographical details of the students, ages 19 to 23, who were killed by   gunmen.   #RefugeesWelcome, In September, thousands of people used the hashtag #refugeeswelcome to tell their governments to open up their borders to Syrian refugees. This came after images of Syrian refugees trying to escape to Europe in overcrowded boats  —   and the image of    Aylan Kurdi, a Syrian refugee boy found drowned on a beach in Turkey. #IfAfricaWasABar  Taking a cue from a classic prompt to help overcome writer’s block, writer Siyanda Moutsiwa, from Botswana, asked this question on Twitter: ”If Africa was a bar, what would your country be  ?” Her tweet became one of the hippest   hashtags of the summer, fueling a feed of satirical quips and memes.  #NigeriansatHogwarts, Nigerians across the world imagine what it would be like if they went to Hogwarts, the wizardry school from the Harry Potter books. ”The #NigeriansAtHogwarts hashtag is EVERYTHING, throwing inside jokes, cultural stereotypes and our unfuggwitable humor into a giant bowl,” wrote blogger Luvvie Ajayi, who goes by ”Awesomely Luvvie.” What was your favorite hashtag in global development? Tell us in a comment below or tweet us @NPRGoatsandSoda. "
2016-01-06,"On Wall Street, the real holiday cheer is just around the corner. It’s bonus season on the Street, and   and   are going to start telling their bankers and traders about their annual pay bump next week, The Post has learned. The 2015 bonus pools for investment bankers and bond and equity traders are expected to be about flat or slightly down at the two banks after a mixed year as bond desks suffered the most, two people with knowledge of the bonuses told The Post. While bond trading desks across Wall Street saw their worst year since the 2008 financial crisis, bank profits were buoyed by lower legal costs and   revenues from mergers and acquisition advisory and investment banking. Bonuses on Wall Street are hotly debated and anticipated, and could mean two or three times an annual salary for even the most junior of employees. They’re also a source of pressure for banks in a tough environment, since star employees who feel they aren’t well compensated are more likely to pack up and go to a rival.  the largest US bank by assets, told employees last year that it plans to keep its bonus pool about the same as last year  —   a move that was widely seen as a way to keep its employees happy.  however, has been slashing costs under its new Chief Executive John Cryan, and many of its employees will see vast reductions  —   or nothing at all. Last year, Wall Street got a 2 percent increase in bonuses overall for their work in 2014  —   but most of that increase came from a rise in deferred stock values, according to data released in March from New York State comptroller Thomas DiNapoli. Spokespeople for Morgan Stanley and Citi declined to comment."
2016-01-07,"Macy’s, which operates the upscale Bloomingdale’s chain as well as its namesake Macy’s department stores, estimated that 80 percent of the fall was due to unusually warm weather, which discouraged purchases of sweaters, coats and gloves. It also blamed the strong dollar for keeping tourists from visiting the United States and spending money at its flagship stores.    The company’s shares rose 2. 8 percent to $37. 15 in   trading on Wednesday as investors cheered its plan to reduce costs by $400 million by consolidating regions and  . The jobs to be eliminated include 3, 000 store workers, though about half of those employees will be put in other positions, as well as hundreds of   and senior executive posts, the company said in a press release.    “Macy’s is cutting the fat, becoming a leaner organization,” said Lisa Haddock, marketing lecturer at San Diego State University, of why the shares rose.    But Haddock said Macy’s, like many other traditional   mortar retailers, faced an uncertain future as more and more consumer demand shifted online. ”Macy’s doesn’t seem to have a unique spot in consumers’ minds,” she said.    Macy’s cut its earnings forecast for the full year to   to $3. $3. 90 per share, excluding charges associated with the   program, from its previous forecast of $4. 20 to $4. 30 per share.    In November Macy’s had also blamed warm weather and low spending by tourists in cutting its guidance for the year and flagging a   of unsold apparel inventory.    ”The holiday selling season was challenging, as experienced throughout 2015 by much of the retailing industry,” Macy’s chief executive, Terry Lundgren, said in Wednesday’s press release.    The latest warning from Macy’s also reflects ongoing shifts in the retail industry, analysts said. A growing number of consumers are refraining from buying discretionary items such as clothes and cosmetics, while spending more on electronics, cars, home goods and travel.     At the same Amazon. com Inc ( ) has revolutionized shopping habits, conditioning shoppers to expect deeper discounts than what    retailers can afford, while speeding up delivery in an effort to lure shoppers.    ”It’s really concerning news that a company as well managed as Macy’s is having such a tough time growing sales,” said Burt Flickinger, managing director at retail consultancy Strategic Resource Group. ”It’s a broader issue. It’s an acceleration of a retail ice age.”    Flickinger said other department stores and specialty clothing stores are likely facing similar troubles with apparel demand.      Macy’s said it expects a 2. 7 percent drop in   sales for the year ending January, bigger than the 1. 8  .2 percent decline it previously forecast.    Macy’s said it will close 36 of its 770 stores early this spring, in line with a previously announced plan.    In addition to store employees, it said it would cut 600   jobs, with about 150 of those positions to be reassigned. The company will shut its St. Louis call center in the spring, affecting about 750 employees, while adding 640 positions to other call centers. It will also offer a ”voluntary separation program” for 165 senior executives at Macy’s and Bloomingdale’s.    Macy’s said it would record about $200 million in charges related to the   program.  (Reporting by Yashaswini Swamynathan in Bengaluru and Nathan Layne in Chicago; Additional reporting by Abhijith G in Bengaluru; Editing by Sriraj Kalluvila and Leslie Adler) A U. S. judge on Wednesday ordered Martin Shkreli to stop talking about his fraud case in or around the Brooklyn courthouse where he is standing trial, five days after the former drug company executive burst into a room full of spectators and attacked the credibility of a government witness. U. S. credit card processor Vantiv agreed to buy Britain’s Worldpay for 7. 7 billion pounds ($10 billion) on Wednesday in a move expected to trigger further deals. "
2016-01-08,"‘Common Core, the set of education standards that were adopted by 46 states five years ago but have since become toxic with the conservative base, has not been at the center of the Republican primary debate, which has so far been dominated by national security and immigration,” according to an article in The Hill just a few weeks ago. How quickly things change. In the final four weeks before the voting begins, Senator Marco Rubio is making opposition to Common Core a key part of his final pitch.  The   super PAC Conservative Solutions features it in a new television ad: “One   Common Core,    Obamacare   president is enough,” the voiceover says. It’s a smart move for Rubio, first and foremost because Common Core is an issue that deeply moves voters, especially important in a caucus state such as Iowa. Second, it distinguishes Rubio from Chris Christie, who was an early supporter of Common Core but who has changed his position to oppose it more recently, at least in part. Common Core is a policy failure as well. The state of Kentucky has been implementing Common Core for four years, the longest of any state, and certainly long enough that one would expect to see some positive results. Instead, Ed Week reports, the proportion of Kentucky elementary and   students who are proficient in reading and math dropped by  . Senator Rubio has promised to reverse any executive order promoting Common Core that President Obama has signed. But here’s the problem: There is a big disconnect between what GOP presidential candidates are saying and what the GOP Congress is doing about Common Core. A candidate who wants to really repeal Common Core’s federal intrusion is now going to have to run not just against President Obama, but against the December betrayal by the   House and Senate, which passed a major education reform that institutionalizes federal control over the curriculum Obama improvised. Yes, I know there’s a sentence in that bill that forbids any effort to foist a curriculum on a state. But it is unenforceable, especially since other explicit provisions of the bill give the federal government broad new powers over state education curriculums, tying the hands of the Common Core moms seeking to reassert control over their children’s education. For the first time in U. S. history, states will be required to submit a “  and  ” education plan to the Department of Education, which, also for the first time, has the explicit authority to judge and disapprove state education plans. As I wrote on December 11, right after the GOP’s silent swift passage: “In other words, Arne Duncan will not have to manipulate waivers to exert pressure on states to adopt the Common Core, because the new   statute explicitly gives him that authority. ” You don’t believe me? Believe Arne Duncan, architect of Obamacore, who crowed to reporters that the bill gave him everything he wanted: “I’m stunned at how much better it ended up than either [the House or the Senate] bill going into conference. I had a Democratic congressman say to me that it’s a miracle  —   he’s literally never seen anything like it. . . . If you look at the substance of what is there . . . embedded in the law are the values that we’ve promoted and proposed forever. The core of our agenda from Day One, that’s all in there  —   early childhood, high standards [i. e. Common Core] not turning a blind eye when things are bad. For the first time in our nation’s history, that’s the letter of the law. ” Or listen to what Peter Cunningham, a former Obama education aide, said in response to claims by Senator Lamar Alexander (R. Tenn.) that the new bill kills Common Core: “The new law that the senator from Tennessee is so proud of . . . now mandates the very thing he rails against. ” Cunningham explains: “Under the new law, every state must adopt ‘  and  ’ standards. Thus, the new law all but guarantees that Common Core State Standards  —   or a reasonable imitation under a different name  —   will likely remain in place in most states. ” Rubio has raised the profile of the issue. But will he be the one to emerge as a real hero by promising to repeal this legislation  —   the Every Student Succeeds Act  —   or will he let the Republican betrayal stand? Ted Cruz has just released a YouTube video announcing a homeschooling coalition and slamming Common Core. The Grand Forks Herald reports that Cruz in his closing pitch is promising to end Common Core  —   and abolish the Department of Education to boot. Will he be the one to do it? This is an opportunity for Rubio or Cruz to take on the dysfunction of Republicans in Washington, so vividly on display just a few weeks ago on Common Core.  —   Maggie Gallagher is the author of four books on marriage and is a longtime contributor to National Review. "
2016-01-09,"In 1982, when I washed up on NPR’s doorstep looking for a job, I started a pickup basketball game. It endures to this day. That’s right, we are in our 33rd season, which makes me too old to still be playing . .. and yet, somehow, I still am. Every Wednesday night over the decades, a group of guys  —   including an array of NPR staffers  —   has come together to run full court in a rented gym. We’ve had journalists, carpenters, doctors, locksmiths, IT guys, military guys, lawyers, and at least one top White House staffer . .. this is D. C. after all. Often, we know little about each other’s personal lives and would never recognize each other with long pants on. One of the   is Bernard Ohanian, who characterizes the game this way: ”When it’s really clicking, it’s like a jazz symphony,” he says. ”And most of the time, it’s like a bad garage band.” Bernard says the game endures because everyone’s friendly and plays hard. ”There’s no jerks in the game,” he says. ”Anyone who’s ever played pickup basketball knows that’s not always the case. And the friendships and relationships you build up over a number of years, it just feels right, it feels part of my life.” NPR economics correspondent John Ydstie was an   player in high school and is one of the last original members of the group still playing. He has been part of my   life for a long, long time. ”I know your every move,” he tells me  —   including the fact that I can’t go left. John is a consistent threat from the outside and along the baseline. And it’s these moves that keep him coming back week after week. ”Every now and then, I do something that feels like it felt when I was 20 years old and it just feels so great. And you realize you were once really good at this thing. And I’m not very good at it anymore, but it’s still fun. It’s just great fun.” For Ohanian, long running games run in the family. His dad played with a bunch of friends from the time they were 15 until well into their golden years. According to Bernard, one of the regulars was a guy named Bob who had been fouling everyone since World War II. But he would never admit it. Well, during one game in the   Bernard was playing with the group when Bob hacked another old timer named Joe one time too many. ”And Joe says, ’foul,’ ” says Bernard. ”And Bob just looks incredulous and he says, ’Joe, I didn’t foul you.’ And you could see this stuff simmering in Joe like you’re holding it in all these years. And he slams the ball down on the floor and he says, ’Damn it, Bob, it was a foul in 1945 and it’s a foul today!’ ” When we first started playing, almost everybody was in their early 30s, but over the years, the original cast of characters dwindled. Some left town. Some were felled by torn ligaments. Others were pulled away by marriage and kids, and yet others just got too old and creaky. And most often, young guys, like newcomer Dan Blank, have taken their place. He was born in 1983, the year after the game started. I’m pretty sure I’m older than his parents. But Dan says that the   guys can keep up. ”A lot of guys out here have some very sneaky speed. Every now and then I think I can just jog down and keep pace and then they zoom right past me, so I don’t take anything for granted the way I did the first game,” he says. Dan is likely just being nice. And Bernard Ohanian says that’s one of the hallmarks of this game . .. especially when one of the seniors hits the deck. ”When any of us really older guys dives for a ball and we’re on the ground or we fall, the young guys are standing over us, ’You all right, you all right, you all right?’ I think they’re afraid we’re going to die on the court.” I guess that would be one of those, ”At least he died doing what he loved” moments. When talk turns to finally retiring from the game, John says, not yet. ”You know I keep thinking, I suppose there’s a time will come we have to hang it up. But it’s not next week. And I don’t think it’s next year. Yeah I don’t know. Just keep going until I can’t go anymore.” Over the years, I’ve broken my nose, cracked my ribs, torn muscles and sprained my ankles. My jump shot percentage is approaching that of   milk, and my reflexes have gone from catlike to  . And yet, I keep playing because the game I’ve practiced since I was 9 years old keeps toying with me. Just when it seems like I can’t raise the embarrassment bar any higher, I’ll have a great night. Or a least a great game. I’ll hit most of my shots, and maybe even a  . And then I know, I’ll be back next Wednesday night."
2016-01-10,"’  mogul Donald Trump said on Saturday that North Korea’’s supreme leader, Kim Jong Un, deserves ”credit” for taking over his country at such a young age.’ ’”If you look at North Korea, this guy, I mean, he’’s like a maniac, OK? And you’’ve got to give him credit. How many young guys  —   he was like 26 or 25 when his father died  —   take over these tough generals,” Trump said in Ottumwa, Iowa.’ ’The Republican presidential   said Kim’’s willingness to push aside generals and ”wipe out” his uncle demonstrated why the US needs to treat North Korea’’s nuclear arsenal as a serious threat.’ ’”And all of a sudden  —   and you know it’’s pretty amazing when you think of it  —   how does he do that? Even though it is a culture and it’’s a cultural thing, he goes in, he takes over, and he’’s the boss,” Trump recalled. ”It’’s incredible. He wiped out the uncle. He wiped out this one, that one. I mean, this guy doesn’’t play games. And we can’’t play games with him. Because he really does have missiles. And he really does have nukes. ”’ ”North Korea drew worldwide condemnation earlier this week when . If true, North Korea’s nuclear weapons would have to the potential to be far more devastating. However,  that the erratic North Korean regime had actually tested a more conventional nuclear weapon.” ”During his Iowa speech on Saturday, Trump also said his plan to   the region is for the US to put pressure on China, which has been North Korea’s longtime benefactor. The billionaire businessman accused the Chinese government of ripping the US off for years.” ’”Here’’s what we do. We tell China,” Trump said. ”We rebuilt China. They have taken so much of our money with trade. They have taken everything. They have taken our jobs, our money. . .. They’’ve taken so much. And literally, it’’s one of the great thefts in the history of the world, what they’’ve done to our country. ”’"
